"Points:0","Points:1","Points:2","U:0","U:1","U:2","cp","p"
0.20518,0.30014,-0.25682,0,0,0,-34.265,-1512.9
0.20786,0.29991,-0.24867,0,0,0,-34.198,-1313.2
0.20785,0.31217,-0.24866,0,0,0,-34.07,-928.57
0.20518,0.31171,-0.25681,0,0,0,-34.108,-1042.2
0.20022,0.32293,-0.25621,0,0,0,-34.221,-1381
0.20483,0.32459,-0.2482,0,0,0,-34.103,-1025.6
0.20022,0.32293,0.25621,0,0,0,-34.212,-1355
0.20483,0.32459,0.2482,0,0,0,-34.097,-1009.7
0.20785,0.31217,0.24866,0,0,0,-34.069,-925.48
0.20518,0.31171,0.25681,0,0,0,-34.106,-1034.6
0.31137,0.13656,-0.58156,0,0,0,-33.904,-428.14
0.31467,0.14038,-0.57269,0,0,0,-33.896,-404.66
0.32506,0.13469,-0.57328,0,0,0,-34.186,-1277.1
0.32219,0.13134,-0.58028,0,0,0,-34.159,-1195.9
0.3098,0.15046,-0.57218,0,0,0,-33.545,648.14
0.30657,0.14986,-0.58051,0,0,0,-33.546,643.84
0.30627,0.16212,-0.58051,0,0,0,-33.515,737.09
0.30966,0.16144,-0.57224,0,0,0,-33.515,739.02
-1.9628,0.08882,-0.25518,0,0,0,-33.757,10.607
-1.9751,0.089414,-0.24964,0,0,0,-33.759,5.1885
-1.9776,0.081549,-0.25465,0,0,0,-33.76,3.9571
-1.976,0.079148,-0.26721,0,0,0,-33.761,-1.6947
-1.9634,0.079544,-0.26744,0,0,0,-33.761,0.40008
-1.9115,0.077724,-0.25674,0,0,0,-33.743,54.719
-1.9226,0.076149,-0.25928,0,0,0,-33.749,36.916
-1.9244,0.071469,-0.26905,0,0,0,-33.749,35.247
-1.9121,0.068461,-0.2696,0,0,0,-33.74,64.121
0.20171,0.33699,-0.24665,0,0,0,-34.103,-1028
0.18952,0.33676,-0.25173,0,0,0,-34.311,-1651.7
0.19158,0.32845,-0.25657,0,0,0,-34.456,-2087.1
-1.2654,0.86261,-0.035959,0,0,0,-33.833,-217.27
-1.2589,0.86225,-0.048791,0,0,0,-33.835,-222.7
-1.2599,0.84965,-0.048793,0,0,0,-33.834,-220.55
-1.2658,0.84984,-0.036088,0,0,0,-33.833,-215.53
-1.2751,0.85013,-0.02724,0,0,0,-33.83,-207.16
-1.2812,0.84885,-0.021156,0,0,0,-33.829,-203.79
-1.2844,0.85042,-0.012986,0,0,0,-33.829,-204.1
-1.2839,0.8622,-0.012873,0,0,0,-33.83,-206.52
-1.2809,0.86377,-0.021029,0,0,0,-33.83,-206.91
-1.2749,0.86246,-0.02715,0,0,0,-33.831,-209.01
-1.2654,0.86261,0.035958,0,0,0,-33.841,-240.46
-1.2658,0.84984,0.036089,0,0,0,-33.844,-248.37
-1.2599,0.84965,0.048794,0,0,0,-33.862,-302.76
